NOME_PRODUTO,CATEGORIA_REGULATORIA,CLASSE_TERAPEUTICA,PRINCIPIO_ATIVO,EMPRESA_DETENTORA_REGISTRO
EPYSQLI,Biológico,AGENTE IMUNOSUPRESSOR,eculizumabe,SAMSUNG BIOEPIS BR PHARMACEUTICAL LTDA.
HERCULIZ,Biológico,AGENTE IMUNOSUPRESSOR,eculizumabe,BIONOVIS S.A. - COMPANHIA BRASILEIRA DE BIOTECNOLOGIA FARMACEUT
OMVOH,Biológico,AGENTE IMUNOSUPRESSOR,MIRIQUIZUMABE,ELI LILLY DO BRASIL LTDA
ATGAM,Biológico,AGENTE IMUNOSUPRESSOR,SORO ANTITIMÓCITO (EQUINO) ,PFIZER BRASIL LTDA
BLAUTOX,Biológico,AGENTE PARALISANTE NEUROMUSCULAR,toxina botulínica A,BLAU FARMACÊUTICA S.A.
BOTOX,Biológico,AGENTE PARALISANTE NEUROMUSCULAR,toxina botulínica A,ABBVIE FARMACÊUTICA LTDA.
BOTULIFT,Biológico,AGENTE PARALISANTE NEUROMUSCULAR,toxina botulínica A,LABORATORIO QUIMICO FARMACEUTICO BERGAMO LTDA
BOTULIM,Biológico,AGENTE PARALISANTE NEUROMUSCULAR,toxina botulínica A,BLAU FARMACÊUTICA S.A.
DYSPORT,Biológico,AGENTE PARALISANTE NEUROMUSCULAR,toxina botulínica A,BEAUFOUR IPSEN FARMACÊUTICA LTDA
LETYBO,Biológico,AGENTE PARALISANTE NEUROMUSCULAR,toxina botulínica A,GLOBAL REGULATORY PARTNERS BRASIL LTDA
NABOTA,Biológico,AGENTE PARALISANTE NEUROMUSCULAR,toxina botulínica A,MOKSHA8 BRASIL INDUSTRIA E COMERCIO DE MEDICAMENTOS LTDA
XEOMIN,Biológico,AGENTE PARALISANTE NEUROMUSCULAR,toxina botulínica A,MERZ FARMACÊUTICA COMERCIAL LTDA
BLENREP,Biológico,AGENTES ANTINEOPLÁSICOS,BELANTAMABE MAFODOTINA,GLAXOSMITHKLINE BRASIL LTDA
ELOVIE,Biológico,AGENTES ANTINEOPLÁSICOS,BEVACIZUMABE,LIBBS FARMACÊUTICA LTDA
DATROWAY,Biológico,AGENTES ANTINEOPLÁSICOS,DATOPOTAMABE DERUXTECANA,DAIICHI SANKYO BRASIL FARMACÊUTICA LTDA
PADCEV,Biológico,AGENTES ANTINEOPLÁSICOS,ENFORTUMABE VEDOTINA,PFIZER BRASIL LTDA
ZYNLONTA,Biológico,AGENTES ANTINEOPLÁSICOS,LONCASTUXIMABE TESIRINA,PINT PHARMA PRODUTOS MEDICO-HOSPITALARES E FARMACEUTICOS LTDA
OPDUALAG,Biológico,AGENTES ANTINEOPLÁSICOS,"nivolumabe, RELATLIMABE",BRISTOL-MYERS SQUIBB FARMACÊUTICA LTDA
OLIZU,Biológico,AGENTES ANTINEOPLÁSICOS,SERPLULIMABE,ABBOTT LABORATÓRIOS DO BRASIL LTDA
TEVIMBRA,Biológico,AGENTES ANTINEOPLÁSICOS,TISLELIZUMABE,BEONE MEDICINES BRASIL LTDA
TYENNE,Biológico,AGENTES ANTINEOPLÁSICOS E IMUNOMODULADORES,tocilizumabe,FRESENIUS KABI BRASIL LTDA
EYDENZELT,Biológico,AGENTES ANTINEOVASCULARIZAÇÃO,aflibercepte,CELLTRION HEALTHCARE DISTRIBUICAO DE PRODUTOS FARMACEUTICOS DOS
ALBIOPLAS,Biológico,ALBUMINA,ALBUMINA HUMANA,ASP-FARMACÊUTICA LTDA
ALIBSTAR,Biológico,ALBUMINA,ALBUMINA HUMANA,PANAMERICAN MEDICAL SUPPLY SUPRIMENTOS MÉDICOS LTDA
INSETIVAC,Biológico,ALERGENOS,EXTRATOS ALERGÊNICOS DE INSETOS SUGADORES,LABORATORIO DE EXTRATOS ALERGENICOS LTDA
PLUSVAC,Biológico,ALERGENOS,"LÃ DE CARNEIRO, FUNGOS DE AR, FUNGOS DO AR, ÁCAROS, ANTIGENOS BACTERIANOS SOB A FORMA DE LISADOS, ANTÍGENOS BACTERIANAS SOB A FORMA DE LISADO",LABORATORIO DE EXTRATOS ALERGENICOS LTDA
EXTRATO ALERGÊNICO BACTERIANO,Biológico,ALERGENOS,PROTEÍNAS,FDA ALLERGENIC FARMACEUTICA LTDA - EPP
EXTRATO ALERGÊNICO DE ÁCAROS,Biológico,ALERGENOS,PROTEÍNAS,FDA ALLERGENIC FARMACEUTICA LTDA - EPP
EXTRATO ALERGÊNICO DE ALIMENTOS,Biológico,ALERGENOS,PROTEÍNAS,FDA ALLERGENIC FARMACEUTICA LTDA - EPP
EXTRATO ALERGENICO DE DERIVADOS EPIDERMICOS,Biológico,ALERGENOS,PROTEÍNAS,FDA ALLERGENIC FARMACEUTICA LTDA - EPP
EXTRATO ALERGÊNICO DE INSETOS,Biológico,ALERGENOS,PROTEÍNAS,FDA ALLERGENIC FARMACEUTICA LTDA - EPP
EXTRATO ALERGÊNICO DE PÓLEN,Biológico,ALERGENOS,PROTEÍNAS,FDA ALLERGENIC FARMACEUTICA LTDA - EPP
EXTRATOS ALERGÊNICOS DE ÁCAROS CONCENTRADOS,Biológico,ALERGENOS,PROTEÍNAS,LABORATORIO DE EXTRATOS ALERGENICOS LTDA
NUWIQ,Biológico,ANTI-HEMORRAGICOS, alfasimoctocogue,OCTAPHARMA BRASIL LTDA
BENEFIX,Biológico,ANTI-HEMORRAGICOS,alfanonacogue,PFIZER BRASIL LTDA
NPLATE,Biológico,ANTI-HEMORRAGICOS,ROMIPLOSTIM,AMGEN BIOTECNOLOGIA DO BRASIL LTDA.
WINREVAIR,Biológico,ANTI-HIPERTENSIVOS PARA HIPERTENSÃO ARTERIAL PULMONAR,SOTATERCEPTE,MERCK SHARP & DOHME FARMACEUTICA LTDA.
ARANESP,Biológico,ANTIANEMICOS,alfadarbepoetina,AMGEN BIOTECNOLOGIA DO BRASIL LTDA.
REBLOZYL,Biológico,ANTIANEMICOS,LUSPATERCEPTE,BRISTOL-MYERS SQUIBB FARMACÊUTICA LTDA
ROJUZDA,Biológico,ANTIANEMICOS,LUSPATERCEPTE,BRISTOL-MYERS SQUIBB FARMACÊUTICA LTDA
VERSA,Biológico,ANTICOAGULANTES,ENOXAPARINA SÓDICA,EUROFARMA LABORATORIOS S.A.
WILATE,Biológico,ANTICOAGULANTES,"FATOR VIII DE COAGULAÇÃO, FATOR VON WILLEBRAND, fator de von Willebrand",OCTAPHARMA BRASIL LTDA
HEPAMAX-S,Biológico,ANTICOAGULANTES,HEPARINA SÓDICA SUÍNA,BLAU FARMACÊUTICA S.A.
PARINEX,Biológico,ANTICOAGULANTES,HEPARINA SÓDICA SUÍNA,HIPOLABOR FARMACEUTICA LTDA
HEMOFOL,Biológico,ANTICOAGULANTES,"HEPARINA SÓDICA SUÍNA, heparina suína",CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.
RYBREVANT,Biológico,ANTICORPOS MONOCLONAIS,AMIVANTAMABE,JANSSEN-CILAG FARMACÊUTICA LTDA
QARZIBA,Biológico,ANTICORPOS MONOCLONAIS,BETADINUTUXIMABE,RECORDATI RARE DISEASES COMÉRCIO DE MEDICAMENTOS LTDA - ME
ENFLONSIA,Biológico,ANTICORPOS MONOCLONAIS,CLESROVIMABE,MERCK SHARP & DOHME FARMACEUTICA LTDA.
DALINVI,Biológico,ANTICORPOS MONOCLONAIS,DARATUMUMABE,JANSSEN-CILAG FARMACÊUTICA LTDA
ANDEMBRY,Biológico,ANTICORPOS MONOCLONAIS,GARADACIMABE,CSL BEHRING COMÉRCIO DE PRODUTOS FARMACÊUTICOS LTDA
EBGLYSS,Biológico,ANTICORPOS MONOCLONAIS,LEBRIQUIZUMABE,ELI LILLY DO BRASIL LTDA
HYMPAVZI,Biológico,ANTICORPOS MONOCLONAIS,MARSTACIMABE,PFIZER BRASIL LTDA
BEYFORTUS,Biológico,ANTICORPOS MONOCLONAIS,NIRSEVIMABE,SANOFI MEDLEY FARMACÊUTICA LTDA.
RYSTIGGO,Biológico,ANTICORPOS MONOCLONAIS,ROZANOLIXIZUMABE,UCB BIOPHARMA LTDA.
TECVAYLI,Biológico,ANTICORPOS MONOCLONAIS,TECLISTAMABE,JANSSEN-CILAG FARMACÊUTICA LTDA
TZIELD®,Biológico,ANTICORPOS MONOCLONAIS,TEPLIZUMABE,SANOFI MEDLEY FARMACÊUTICA LTDA.
BRIUMVI,Biológico,ANTICORPOS MONOCLONAIS,UBLITUXIMABE,NEURAXPHARM BRASIL IMPORTACAO E DISTRIBUICAO DE MEDICAMENTOS LT
TRULICITY,Biológico,ANTIDIABETICOS,dulaglutida,ELI LILLY DO BRASIL LTDA
FIASP,Biológico,ANTIDIABETICOS,INSULINA ASPARTE,NOVO NORDISK FARMACÊUTICA DO BRASIL LTDA
KIRSTY,Biológico,ANTIDIABETICOS,INSULINA ASPARTE,BIOCON BIOLOGICS DO BRASIL LTDA
NOVORAPID,Biológico,ANTIDIABETICOS,INSULINA ASPARTE,NOVO NORDISK FARMACÊUTICA DO BRASIL LTDA
TRESIBA,Biológico,ANTIDIABETICOS,insulina degludeca,NOVO NORDISK FARMACÊUTICA DO BRASIL LTDA
XULTOPHY,Biológico,ANTIDIABETICOS,"insulina degludeca, liraglutida",NOVO NORDISK FARMACÊUTICA DO BRASIL LTDA
LEVEMIR,Biológico,ANTIDIABETICOS,INSULINA DETEMIR,NOVO NORDISK FARMACÊUTICA DO BRASIL LTDA
BASAGLAR,Biológico,ANTIDIABETICOS,INSULINA GLARGINA,ELI LILLY DO BRASIL LTDA
GLARGILIN,Biológico,ANTIDIABETICOS,INSULINA GLARGINA,BIOMM SA
GLATUS,Biológico,ANTIDIABETICOS,INSULINA GLARGINA,ASPEN PHARMA INDÚSTRIA FARMACÊUTICA LTDA
LANTUS,Biológico,ANTIDIABETICOS,INSULINA GLARGINA,SANOFI MEDLEY FARMACÊUTICA LTDA.
SEMGLEE,Biológico,ANTIDIABETICOS,INSULINA GLARGINA,BIOCON BIOLOGICS DO BRASIL LTDA
TOUJEO,Biológico,ANTIDIABETICOS,INSULINA GLARGINA,SANOFI MEDLEY FARMACÊUTICA LTDA.
SOLIQUA,Biológico,ANTIDIABETICOS,"INSULINA GLARGINA, lixisenatida",SANOFI MEDLEY FARMACÊUTICA LTDA.
APIDRA,Biológico,ANTIDIABETICOS,insulina glulisina,SANOFI MEDLEY FARMACÊUTICA LTDA.
AFREZZA,Biológico,ANTIDIABETICOS,INSULINA HUMANA,BIOMM SA
FUNED INSULINA R,Biológico,ANTIDIABETICOS,INSULINA HUMANA,FUNDAÇÃO EZEQUIEL DIAS - FUNED
HUMULIN R,Biológico,ANTIDIABETICOS,INSULINA HUMANA,ELI LILLY DO BRASIL LTDA
INSUNORM N,Biológico,ANTIDIABETICOS,INSULINA HUMANA,BIOCON BIOLOGICS DO BRASIL LTDA
INSUNORM R,Biológico,ANTIDIABETICOS,INSULINA HUMANA,BIOCON BIOLOGICS DO BRASIL LTDA
IVB - INSULINA HUMANA R,Biológico,ANTIDIABETICOS,INSULINA HUMANA,INSTITUTO VITAL BRAZIL S/A
LQFEX - INSULINA HUMANA R,Biológico,ANTIDIABETICOS,INSULINA HUMANA,LABORATÓRIO QUÍMICO FARMACÊUTICO DO EXÉRCITO
NOVOLIN R,Biológico,ANTIDIABETICOS,INSULINA HUMANA,NOVO NORDISK FARMACÊUTICA DO BRASIL LTDA
WOSULIN 70/30,Biológico,ANTIDIABETICOS,INSULINA HUMANA,"GERAIS, COMÉRCIO E IMPORTAÇÃO DE MATERIAIS E EQUIPAMENTOS MEDIC"
WOSULIN R,Biológico,ANTIDIABETICOS,INSULINA HUMANA,"GERAIS, COMÉRCIO E IMPORTAÇÃO DE MATERIAIS E EQUIPAMENTOS MEDIC"
AWIQLI,Biológico,ANTIDIABETICOS,INSULINA ICODECA,NOVO NORDISK FARMACÊUTICA DO BRASIL LTDA
FUNED INSULINA N,Biológico,ANTIDIABETICOS,insulina isofana,FUNDAÇÃO EZEQUIEL DIAS - FUNED
IVB - INSULINA ISOFANA NPH,Biológico,ANTIDIABETICOS,insulina isofana,INSTITUTO VITAL BRAZIL S/A
WOSULIN N,Biológico,ANTIDIABETICOS,insulina isofana,"GERAIS, COMÉRCIO E IMPORTAÇÃO DE MATERIAIS E EQUIPAMENTOS MEDIC"
HUMALOG,Biológico,ANTIDIABETICOS,insulina LISPRO,ELI LILLY DO BRASIL LTDA
HUMALOG MIX,Biológico,ANTIDIABETICOS,insulina LISPRO,ELI LILLY DO BRASIL LTDA
VICTOZA,Biológico,ANTIDIABETICOS,liraglutida,NOVO NORDISK FARMACÊUTICA DO BRASIL LTDA
EXTENSIOR,Biológico,ANTIDIABETICOS,SEMAGLUTIDA,NOVO NORDISK FARMACÊUTICA DO BRASIL LTDA
OZEMPIC,Biológico,ANTIDIABETICOS,SEMAGLUTIDA,NOVO NORDISK FARMACÊUTICA DO BRASIL LTDA
RYBELSUS,Biológico,ANTIDIABETICOS,SEMAGLUTIDA,NOVO NORDISK FARMACÊUTICA DO BRASIL LTDA
FLORALON,Biológico,ANTIDIARREICOS SIMPLES SEM ACAO ANTIMICROBIANA,"SACCHAROMYCES BOULARDII, SACCHAROMYCES BOULARDII - 17",CIFARMA CIENTÍFICA FARMACÊUTICA LTDA
FLORENT,Biológico,ANTIDIARREICOS SIMPLES SEM ACAO ANTIMICROBIANA,"SACCHAROMYCES BOULARDII, SACCHAROMYCES BOULARDII - 17",CIFARMA CIENTÍFICA FARMACÊUTICA LTDA
PRAXBIND,Biológico,ANTÍDOTOS,idarucizumabe,BOEHRINGER INGELHEIM DO BRASIL QUÍMICA E FARMACÊUTICA LTDA.
ATENFE,Biológico,ANTIINFLAMATÓRIOS E ANTIREUMÁTICOS,ADALIMUMABE,MEGALABS FARMACEUTICA S.A.
HULIO,Biológico,ANTIINFLAMATÓRIOS E ANTIREUMÁTICOS,ADALIMUMABE,BIOCON BIOLOGICS DO BRASIL LTDA
REPATHA,Biológico,ANTILIPEMICOS,evolocumabe,AMGEN BIOTECNOLOGIA DO BRASIL LTDA.
SPECTRILA,Biológico,ANTINEOPLASICO,ASPARAGINASE,LABORATÓRIOS BAGÓ DO BRASIL S/A
SPECTRILA,Biológico,ANTINEOPLASICO,ASPARAGINASE,STEINCARES FARMACEUTICA DO BRASIL LTDA
TECENTRIQ,Biológico,ANTINEOPLASICO,ATEZOLIZUMABE,PRODUTOS ROCHE QUÍMICOS E FARMACÊUTICOS S.A.
BAVENCIO,Biológico,ANTINEOPLASICO,AVELUMABE,MERCK S/A
ABEVMY,Biológico,ANTINEOPLASICO,BEVACIZUMABE,BIOCON BIOLOGICS DO BRASIL LTDA
AVASTIN,Biológico,ANTINEOPLASICO,BEVACIZUMABE,PRODUTOS ROCHE QUÍMICOS E FARMACÊUTICOS S.A.
BEVANOVIS,Biológico,ANTINEOPLASICO,BEVACIZUMABE,BIONOVIS S.A. - COMPANHIA BRASILEIRA DE BIOTECNOLOGIA FARMACEUT
BEVYX,Biológico,ANTINEOPLASICO,BEVACIZUMABE,BIOMM SA
MVASI,Biológico,ANTINEOPLASICO,BEVACIZUMABE,AMGEN BIOTECNOLOGIA DO BRASIL LTDA.
ONBEVZI,Biológico,ANTINEOPLASICO,BEVACIZUMABE,SAMSUNG BIOEPIS BR PHARMACEUTICAL LTDA.
SIMBEVA,Biológico,ANTINEOPLASICO,BEVACIZUMABE,LABORATÓRIO TEUTO BRASILEIRO S/A
ZIRABEV,Biológico,ANTINEOPLASICO,BEVACIZUMABE,PFIZER BRASIL LTDA
BLINCYTO,Biológico,ANTINEOPLASICO,blinatumomabe,AMGEN BIOTECNOLOGIA DO BRASIL LTDA.
ADCETRIS,Biológico,ANTINEOPLASICO,brentuximabe vedotina,TAKEDA PHARMA LTDA.
LIBTAYO,Biológico,ANTINEOPLASICO,CEMIPLIMABE,ADIUM S.A.
ERBITUX,Biológico,ANTINEOPLASICO,Cetuximabe,MERCK S/A
DNOCLAST,Biológico,ANTINEOPLASICO,denosumabe,ABBOTT LABORATÓRIOS DO BRASIL LTDA
RESYNIV,Biológico,ANTINEOPLASICO,denosumabe,ABBOTT LABORATÓRIOS DO BRASIL LTDA
WYOST,Biológico,ANTINEOPLASICO,denosumabe,SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA
XDENO,Biológico,ANTINEOPLASICO,denosumabe,BIONOVIS S.A. - COMPANHIA BRASILEIRA DE BIOTECNOLOGIA FARMACEUT
XGEVA,Biológico,ANTINEOPLASICO,denosumabe,AMGEN BIOTECNOLOGIA DO BRASIL LTDA.
JEMPERLI,Biológico,ANTINEOPLASICO,DOSTARLIMABE,GLAXOSMITHKLINE BRASIL LTDA
EMPLICITI,Biológico,ANTINEOPLASICO,ELOTUZUMABE,BRISTOL-MYERS SQUIBB FARMACÊUTICA LTDA
ELREXFIO,Biológico,ANTINEOPLASICO,ELRANATAMABE,PFIZER BRASIL LTDA
MYLOTARG,Biológico,ANTINEOPLASICO,gentuzumabe ozogamicina,PFIZER BRASIL LTDA
BESPONSA,Biológico,ANTINEOPLASICO,INOTUZUMABE OZOGAMICINA,PFIZER BRASIL LTDA
INTERFERON ALFA  2A HUMANO RECOMBINANTE,Biológico,ANTINEOPLASICO,Interferon alfa 2a,CHRON EPIGEN INDÚSTRIA E COMÉRCIO LTDA
YERVOY,Biológico,ANTINEOPLASICO,ipilimumabe,BRISTOL-MYERS SQUIBB FARMACÊUTICA LTDA
SARCLISA,Biológico,ANTINEOPLASICO,ISATUXIMABE,SANOFI MEDLEY FARMACÊUTICA LTDA.
DANYELZA,Biológico,ANTINEOPLASICO,NAXITAMABE,ADIUM S.A.
IMREVITE,Biológico,ANTINEOPLASICO,nivolumabe,BRISTOL-MYERS SQUIBB FARMACÊUTICA LTDA
NIVDIREC,Biológico,ANTINEOPLASICO,nivolumabe,BRISTOL-MYERS SQUIBB FARMACÊUTICA LTDA
OPDIVO,Biológico,ANTINEOPLASICO,nivolumabe,BRISTOL-MYERS SQUIBB FARMACÊUTICA LTDA
GAZYVA,Biológico,ANTINEOPLASICO,obinutuzumabe,PRODUTOS ROCHE QUÍMICOS E FARMACÊUTICOS S.A.
VECTIBIX,Biológico,ANTINEOPLASICO,panitumumabe,AMGEN BIOTECNOLOGIA DO BRASIL LTDA.
ONCASPAR,Biológico,ANTINEOPLASICO,PEGASPARGASE,LABORATÓRIOS SERVIER DO BRASIL LTDA
PERJETA,Biológico,ANTINEOPLASICO,pertuzumabe,PRODUTOS ROCHE QUÍMICOS E FARMACÊUTICOS S.A.
PHESGO,Biológico,ANTINEOPLASICO,"pertuzumabe, TRASTUZUMABE",PRODUTOS ROCHE QUÍMICOS E FARMACÊUTICOS S.A.
ROPOLIVY,Biológico,ANTINEOPLASICO,POLATUZUMABE VEDOTINA,PRODUTOS ROCHE QUÍMICOS E FARMACÊUTICOS S.A.
CYRAMZA,Biológico,ANTINEOPLASICO,ramucirumabe,ELI LILLY DO BRASIL LTDA
RIXIMYO,Biológico,ANTINEOPLASICO,RITUXIMABE,SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA
TUXYN,Biológico,ANTINEOPLASICO,RITUXIMABE,BIONOVIS S.A. - COMPANHIA BRASILEIRA DE BIOTECNOLOGIA FARMACEUT
VIVAXXIA,Biológico,ANTINEOPLASICO,RITUXIMABE,LIBBS FARMACÊUTICA LTDA
IMDELLTRA,Biológico,ANTINEOPLASICO,TARLATAMABE,AMGEN BIOTECNOLOGIA DO BRASIL LTDA.
BISINTEX,Biológico,ANTINEOPLASICO,TRASTUZUMABE,ABBOTT LABORATÓRIOS DO BRASIL LTDA
HERMAB,Biológico,ANTINEOPLASICO,TRASTUZUMABE,EUROFARMA LABORATORIOS S.A.
HERZUMA,Biológico,ANTINEOPLASICO,TRASTUZUMABE,CELLTRION HEALTHCARE DISTRIBUICAO DE PRODUTOS FARMACEUTICOS DOS
KANJINTI,Biológico,ANTINEOPLASICO,TRASTUZUMABE,AMGEN BIOTECNOLOGIA DO BRASIL LTDA.
ONTRUZANT,Biológico,ANTINEOPLASICO,TRASTUZUMABE,SAMSUNG BIOEPIS BR PHARMACEUTICAL LTDA.
TECPAR TRASTUZUMABE,Biológico,ANTINEOPLASICO,TRASTUZUMABE,INSTITUTO DE TECNOLOGIA DO PARANA
TRAZIMERA,Biológico,ANTINEOPLASICO,TRASTUZUMABE,PFIZER BRASIL LTDA
ZEDORA,Biológico,ANTINEOPLASICO,TRASTUZUMABE,LIBBS FARMACÊUTICA LTDA
ENHERTU,Biológico,ANTINEOPLASICO,TRASTUZUMABE DERUXTECANA,DAIICHI SANKYO BRASIL FARMACÊUTICA LTDA
KADCYLA,Biológico,ANTINEOPLASICO,TRASTUZUMABE ENTANSINA,PRODUTOS ROCHE QUÍMICOS E FARMACÊUTICOS S.A.
IMJUDO,Biológico,ANTINEOPLASICO,tremelimumabe ,ASTRAZENECA DO BRASIL LTDA
VYLOY,Biológico,ANTINEOPLASICO,ZOLBETUXIMABE,ASTELLAS FARMA BRASIL IMPORTAÇÃO E DISTRIBUIÇÃO DE MEDICAMENTOS
RUXIENCE,Biológico,ANTINEOPLASICOS CITOTOXICOS,RITUXIMABE,PFIZER BRASIL LTDA
CIMZIA,Biológico,ANTINFLAMATORIOS,certolizumabe pegol,UCB BIOPHARMA LTDA.
BIO-MANGUINHOS ETANERCEPTE,Biológico,ANTINFLAMATORIOS,Etanercepte,FUNDAÇÃO OSWALDO CRUZ
BRENZYS,Biológico,ANTINFLAMATORIOS,Etanercepte,SAMSUNG BIOEPIS BR PHARMACEUTICAL LTDA.
ENBREL PFS,Biológico,ANTINFLAMATORIOS,Etanercepte,LABORATÓRIOS PFIZER LTDA
ERELZI,Biológico,ANTINFLAMATORIOS,Etanercepte,SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA
NEPEXTO,Biológico,ANTINFLAMATORIOS,Etanercepte,BIOCON BIOLOGICS DO BRASIL LTDA
ENBREL,Biológico,ANTINFLAMATORIOS,Etanercepte (TNFR:Fc),LABORATÓRIOS PFIZER LTDA
BIO-MANGUINHOS GOLIMUMABE,Biológico,ANTINFLAMATORIOS,golimumabe,FUNDAÇÃO OSWALDO CRUZ
SIMPONI,Biológico,ANTINFLAMATORIOS,golimumabe,JANSSEN-CILAG FARMACÊUTICA LTDA
AVSOLA,Biológico,ANTINFLAMATORIOS,INFLIXIMABE,AMGEN BIOTECNOLOGIA DO BRASIL LTDA.
BIO MANGUINHOS INFLIXIMABE,Biológico,ANTINFLAMATORIOS,INFLIXIMABE,FUNDAÇÃO OSWALDO CRUZ
REMICADE,Biológico,ANTINFLAMATORIOS,INFLIXIMABE,JANSSEN-CILAG FARMACÊUTICA LTDA
REMSIMA,Biológico,ANTINFLAMATORIOS,INFLIXIMABE,CELLTRION HEALTHCARE DISTRIBUICAO DE PRODUTOS FARMACEUTICOS DOS
RENFLEXIS,Biológico,ANTINFLAMATORIOS,INFLIXIMABE,SAMSUNG BIOEPIS BR PHARMACEUTICAL LTDA.
XILFYA,Biológico,ANTINFLAMATORIOS,INFLIXIMABE,PFIZER BRASIL LTDA
ZETRELSYN,Biológico,ANTINFLAMATORIOS,INFLIXIMABE,JANSSEN-CILAG FARMACÊUTICA LTDA
ORENCIA,Biológico,ANTINFLAMATORIOS ANTIREUMATICOS,ABATACEPTE,BRISTOL-MYERS SQUIBB FARMACÊUTICA LTDA
AMGEVITA,Biológico,ANTINFLAMATORIOS ANTIREUMATICOS,ADALIMUMABE,AMGEN BIOTECNOLOGIA DO BRASIL LTDA.
HADLIMA,Biológico,ANTINFLAMATORIOS ANTIREUMATICOS,ADALIMUMABE,SAMSUNG BIOEPIS BR PHARMACEUTICAL LTDA.
HUMIRA,Biológico,ANTINFLAMATORIOS ANTIREUMATICOS,ADALIMUMABE,ABBVIE FARMACÊUTICA LTDA.
HYRIMOZ,Biológico,ANTINFLAMATORIOS ANTIREUMATICOS,ADALIMUMABE,SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA
IDACIO,Biológico,ANTINFLAMATORIOS ANTIREUMATICOS,ADALIMUMABE,FRESENIUS KABI BRASIL LTDA
INSTITUTO BUTANTAN - ADALIMUMABE,Biológico,ANTINFLAMATORIOS ANTIREUMATICOS,ADALIMUMABE,INSTITUTO BUTANTAN
XILBRILADA,Biológico,ANTINFLAMATORIOS ANTIREUMATICOS,ADALIMUMABE,PFIZER BRASIL LTDA
YUFLYMA,Biológico,ANTINFLAMATORIOS ANTIREUMATICOS,ADALIMUMABE,CELLTRION HEALTHCARE DISTRIBUICAO DE PRODUTOS FARMACEUTICOS DOS
EUFLEXXA,Biológico,ANTINFLAMATORIOS ANTIREUMATICOS,HIALURONATO DE SÓDIO,LABORATÓRIOS FERRING LTDA
ACTEMRA,Biológico,ANTINFLAMATORIOS ANTIREUMATICOS,tocilizumabe,PRODUTOS ROCHE QUÍMICOS E FARMACÊUTICOS S.A.
CABLIVI,Biológico,ANTITROMBOTICO,CAPLACIZUMABE,SANOFI MEDLEY FARMACÊUTICA LTDA.
DEFITELIO,Biológico,ANTITROMBOTICO,DEFIBROTIDA,ADIUM S.A.
CLEXANE,Biológico,ANTITROMBOTICO,ENOXAPARINA SÓDICA,SANOFI MEDLEY FARMACÊUTICA LTDA.
ENDOCRIS,Biológico,ANTITROMBOTICO,ENOXAPARINA SÓDICA,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.
ENOKSA,Biológico,ANTITROMBOTICO,ENOXAPARINA SÓDICA,FARMA VISION IMPORTAÇÃO E EXPORTAÇÃO DE MEDICAMENTOS LTDA
ENOXALOW,Biológico,ANTITROMBOTICO,ENOXAPARINA SÓDICA,BLAU FARMACÊUTICA S.A.
HEPARINOX,Biológico,ANTITROMBOTICO,ENOXAPARINA SÓDICA,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.
HEPTRIS,Biológico,ANTITROMBOTICO,ENOXAPARINA SÓDICA,VIATRIS FARMACEUTICA DO BRASIL LTDA
HYBLUT,Biológico,ANTITROMBOTICO,ENOXAPARINA SÓDICA,BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A
NOXX,Biológico,ANTITROMBOTICO,ENOXAPARINA SÓDICA,BLAU FARMACÊUTICA S.A.
BYEROXU,Biológico,ANTIVARICOSOS TOPICOS,heparina sódica bovina,ABBOTT LABORATÓRIOS DO BRASIL LTDA
TROMBOFOB GEL,Biológico,ANTIVARICOSOS TOPICOS,heparina sódica bovina,ABBOTT LABORATÓRIOS DO BRASIL LTDA
FLEDOID,Biológico,ANTIVARICOSOS TOPICOS,POLISSULFATO DE MUCOPOLISSACARíDeO,FARMOQUÍMICA S/A
HIRUDOID INFANTIL,Biológico,ANTIVARICOSOS TOPICOS,POLISSULFATO DE MUCOPOLISSACARíDeO,DAIICHI SANKYO BRASIL FARMACÊUTICA LTDA
TOPCOID,Biológico,ANTIVARICOSOS TOPICOS,POLISSULFATO DE MUCOPOLISSACARíDeO,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A
PEGASYS,Biológico,ANTIVIROTICOS,alfapeginterferona 2a,INNOVATIVE MEDICINES BRASIL SP DISTRIBUICAO DE MEDICAMENTOS LTD
VEGZELMA,Biológico,BEVACIZUMABE,BEVACIZUMABE,CELLTRION HEALTHCARE DISTRIBUICAO DE PRODUTOS FARMACEUTICOS DOS
DBRIZ UNO,Biológico,CICATRIZANTES,COLAGENASE,SUPERA FARMA LABORATÓRIOS S.A
KOLLAGENASE,Biológico,CICATRIZANTES,COLAGENASE,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.
